tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
tt0022437,Strictly Dishonorable,Strictly Dishonorable,1931,"Comedy, Drama, Romance",91,USA,"English, Italian",John M. Stahl,"Preston Sturges, Gladys Lehman","A womanizing singer falls for an old-fashioned Southern belle. The problem is, she already has a fiance.",6,175,"https://m.media-amazon.com/images/M/MV5BZTM3YmE4NmYtOTlkNC00Nzk4LWI5NmQtYjdiN2EzZGU2YWUwXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022180,L'agguato dei sottomarini,Suicide Fleet,1931,"Comedy, Drama, War",87,USA,"English, French, German, Spanish",Albert S. Rogell,"Herbert A. Jones, Lew Lipton",Three US sailors fight German U-boats in World War I aboard a decoy ship and try to win Ginger Rogers who works on the Coney Island midway.,5.6,206,"https://m.media-amazon.com/images/M/MV5BYjE1MGNhMzktNmEzYS00ZDk2LTkxOWEtYTQzYjI1NGNkZWVhXkEyXkFqcGdeQXVyNjUzMzYzNDU@._V1_UY268_CR116,0,182,268_AL_.jpg"
tt0022453,Cortigiana,Susan Lenox (Her Fall and Rise),1931,"Drama, Romance",76,USA,English,Robert Z. Leonard,"Leon Gordon, David Graham Phillips",Fleeing her cruel uncle and an arranged marriage Susan Lenox falls in love with a kind stranger but circumstances force her to become a woman of easy virtue.,6.4,1074,"https://m.media-amazon.com/images/M/MV5BOWJjYjI3MGMtN2QxMC00YjM5LTlkYmYtYmFkZWFkZDQ5MjQyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022454,Svengali,Svengali,1931,"Drama, Horror, Romance",81,USA,"English, French, Italian, German",Archie Mayo,"George L. Du Maurier, J. Grubb Alexander","Through hypnotism and telepathic mind control, a sinister music maestro controls the singing voice, but not the heart, of the woman he loves.",6.8,1741,"https://m.media-amazon.com/images/M/MV5BMDg0Y2YyYjAtYTlmMC00YWU2LTllYjYtOTlkMGYwOTFhM2Y1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0022458,Tabù,Tabu: A Story of the South Seas,1931,"Drama, Romance, Adventure",86,USA,English,F.W. Murnau,"F.W. Murnau, Robert J. Flaherty","On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.",7.5,4879,"https://m.media-amazon.com/images/M/MV5BNDhmNzg0M2UtZGNkNC00YTQ3LWE0ZjAtMmFjNTI2MmFkZmNiXkEyXkFqcGdeQXVyMTczMjA2Nzk@._V1_UY268_CR0,0,182,268_AL_.jpg"
tt0022463,Il marito ricco,Tarnished Lady,1931,"Drama, Romance",83,USA,English,George Cukor,"Donald Ogden Stewart, Donald Ogden Stewart","Tarnished Lady is a 1931 Pre-Code American drama film directed by George Cukor. The screenplay by Donald Ogden Stewart is based on his short story, A Story of a New York Lady.",6.1,155,"https://m.media-amazon.com/images/M/MV5BMjA1NDg2MDAwM15BMl5BanBnXkFtZTgwMTM1ODg0MjE@._V1_UY268_CR4,0,182,268_AL_.jpg"
tt0023556,Taxi,Taxi,1931,"Crime, Drama, Romance",69,USA,"English, Yiddish",Roy Del Ruth,"Kenyon Nicholson, Kubec Glasmon",Independent cab drivers struggling against a taxi company consortium find a leader in Matt Nolan.,6.7,1158,"https://m.media-amazon.com/images/M/MV5BY2EwOGI1OGQtOTRmNy00NmM0LTk1MTUtOGZmNDEzN2MyMzI2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY268_CR12,0,182,268_AL_.jpg"
tt0022469,Dieci soldi a danza,Ten Cents a Dance,1931,"Crime, Drama, Romance",75,USA,English,"Lionel Barrymore, Edward Buzzell","Jo Swerling, Jo Swerling","Men pay a dime to dance with Barbara and her fellow taxi dancers. She marries Eddie and plans to quit dancing. Before she does, she meets a handsome and rich gentleman.",6.6,654,"https://m.media-amazon.com/images/M/MV5BMTk0NjU1OTM1M15BMl5BanBnXkFtZTgwNjIzMDMyMjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021633,The Bachelor Father,The Bachelor Father,1931,"Comedy, Drama, Romance",90,USA,"English, French",Robert Z. Leonard,"Edward Childs Carpenter, Laurence E. Johnson",Old man invites three of his illegitimate children to live with him.,6.5,1041,"https://m.media-amazon.com/images/M/MV5BNTgwMmYyODgtNjgwYi00NDQ5LTkwMWMtYzdlMzc2ZmY1ZmMyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021636,The Bad Sister,The Bad Sister,1931,Drama,68,USA,English,Hobart Henley,"Edwin H. Knopf, Edwin H. Knopf",Marianne falls in love with a con artist who has a hidden agenda.,6.3,988,"https://m.media-amazon.com/images/M/MV5BZDNjYWY3NTQtODBkNC00ODBlLTg5ZWEtZDNkZTFhYmE4ZTI2XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY268_CR0,0,182,268_AL_.jpg"
