tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls,linktowatch
tt8089234,For the Weekend,For the Weekend,2020,"Comedy, Thriller",96,USA,English,"Tom Dever, Warren J. Williams","Tom Dever, Warren J. Williams",    A group of friends' attempt to repair their strained relationship by celebrating a birthday at a remote desert home falls apart when one disappears and their lives are changed forever.,4.1,251,"https://m.media-amazon.com/images/M/MV5BNjE2YjhlMzEtNWVhNy00ODM0LTgwNDctOTNlZDhhN2ZmMDk3XkEyXkFqcGdeQXVyNjQ4MjMwOTg@._V1_UX182_CR0,0,182,268_AL_.jpg",NA
tt10308928,Force of Nature,Force of Nature,2020,"Action, Drama",91,USA,English,Michael Polish,Cory M. Miller,    A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,4.4,3609,"https://m.media-amazon.com/images/M/MV5BNjZjODI5NmUtZTM3ZS00ZDkyLWJiMDYtYjI4MzFhODg1MDFmXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.c2b90f89-4f4c-d4fb-cedf-9f29a7bd8eab?tag=imdbtag_tt_wbr_pvs_piv-20
tt11316854,Gabriel's Inferno,Gabriel's Inferno,2020,Romance,122,USA,,Tosca Musk,,"    An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",6.2,1561,"https://m.media-amazon.com/images/M/MV5BZTEwZDYwZDgtOWFiNi00YThhLTk4MjMtNDg4ZmJjYTU0M2RiXkEyXkFqcGdeQXVyMTA4ODQyNDYx._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.16ba7043-c259-7a6e-6694-990aa1a417bd?tag=imdbtag_tt_wbr_pvt_aiv-20
tt6263490,Getaway,Getaway,2020,"Horror, Thriller",76,USA,English,Lane Toran,"Jaclyn Betham, Lane Toran","    Tamara Miller has planned a weekend lake getaway with her lifelong two best friends. When she gets kidnapped by a backwoods cult, eerie and unexplained occurrences arise. Will she make it out alive or become the treasure of these deranged lunatics?",4,205,"https://m.media-amazon.com/images/M/MV5BMzJkMDQ5MTYtZjNmZS00YWRiLWFkN2EtMWRhOWIyYTY3NTBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.00b8366b-a1ad-cdf4-548d-d2edc7a0718e?tag=imdbtag_tt_wbr_pvs_piv-20
tt12323842,Gina Brillon: The Floor is Lava,Gina Brillon: The Floor is Lava,2020,Comedy,60,USA,English,,,"    Comedian Gina Brillon discusses her childhood, culture and the transition from single to married life with her Midwestern husband.",5.9,107,"https://m.media-amazon.com/images/M/MV5BM2YzNTA2ZTEtNmMzMy00OWNhLThiNGEtM2NiMDVjYTg5YzY5XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",NA
tt5588938,Gold Dust,Gold Dust,2020,"Adventure, Comedy",100,USA,English,David Wall,David Wall,"    Somewhere along the border with Mexico, two lifelong friends - prospectors - use moth eaten maps and passed down legends in a lifelong search to find a ghost ship rumored to have been buried in the desert sand over millennia as the seafloor dried up. Today, Mexican drug lords operate here, using a fleet of children in ultra light airplanes, flying in a new type of treasure - heroin - modern gold dust. These two friends must decide between pursuing their dreams of treasure, suddenly so close, and what they know is right. To save themselves, or risk their lives to save a young girl captive to the drug lord. GOLD DUST is a wild adventure of treasure and ghosts, mirages and orphans, shattered dreams and lost loves. It blends the stark deadly beauty of the desert with a villain so disarmingly dangerous he becomes terrifyingly elegant. Classical music. Thundering opera. Rattlesnakes and precious gems. Mansions and gold mines. Friendship and despair. Hope. Death. And Love. Treasure beyond ...",4,205,"https://m.media-amazon.com/images/M/MV5BMTNhYzc2ZGMtZjVhMC00ZTI4LWFhY2ItZjM5MDViNDVhMTViXkEyXkFqcGdeQXVyNjE0NzQ4NTM@._V1_UX182_CR0,0,182,268_AL_.jpg",NA
tt8170358,Green Rush,Green Rush,2020,Thriller,87,USA,English,Gerard Roxburgh,"Danny Acosta, Rick Lee",    A cannabis farmer and his pregnant lover fight for their lives when ruthless criminals invade their property.,3.8,143,"https://m.media-amazon.com/images/M/MV5BNzVlNzM4OWItMWJiMS00NTJkLWFhOTgtYTRlZGQ3MTA0NzFjXkEyXkFqcGdeQXVyMTU0ODE4MDQ@._V1_UY268_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.26b8b360-1e5c-e7d0-c91a-0ec46541f61e?tag=imdbtag_tt_wbr_pvt_aiv-20
tt7737786,Greenland,Greenland,2020,"Action, Thriller",119,"UK, USA",English,Ric Roman Waugh,Chris Sparling,"    A family fights for survival as a planet-killing comet races to Earth. John Garrity (Gerard Butler), his estranged wife Allison (Morena Baccarin), and young son Nathan make a perilous journey to their only hope for sanctuary. Amid terrifying news accounts of cities around the world being leveled by the comet's fragments, the Garritys experience the best and worst in humanity while they battle the increasing panic and lawlessness surrounding them. As the countdown to global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",6.5,1568,"https://m.media-amazon.com/images/M/MV5BMzcyMzU4MDUtM2JhOC00ZDg2LTg5MGMtZjc2OGMyMjhlMGE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.48bac85d-8aa7-5bd1-881d-56243bd6c867?tag=imdbtag_tt_wbr_pvt_aiv-20
tt9086228,Gretel e Hansel,Gretel & Hansel,2020,"Fantasy, Horror, Mystery",87,"Canada, USA, Ireland, South Africa",English,Oz Perkins,Rob Hayes,"    Siblings, Gretel and Hansel live in the countryside with their mother. When times are hard and Gretel can't find work, their mother sends them out to fend for themselves. As they journey through the dark forest without clothes nor supplies, they come upon a house with good-smelling food, and decide to temporarily stay there in care of an old woman. As they recover from fatigue, they uncover odd things which might prevent them from getting out alive.",5.3,18390,"https://m.media-amazon.com/images/M/MV5BOTIyYWJjZDctODY4OC00NWExLWE2NTktZmY0MWY2YWZjMWIxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.52b93b1d-0ad1-7c4d-9df3-c2d482f664eb?tag=imdbtag_tt_wbr_pvs_piv-20
tt6048922,Greyhound: il nemico invisibile,Greyhound,2020,"Action, Drama, History",91,"USA, Canada, China",English,Aaron Schneider,"Tom Hanks, C.S. Forester","    Based upon the novel ""The Good Shepherd"" by C S Forester, this is the thrilling story of an Allied convoy crossing the North Atlantic in 1942 as it faces relentless attack by a German submarine wolf pack. The leader of the convoy's destroyer screen is a US Navy commander making his first Atlantic crossing. The story focuses on the his command responsibility as he fights the cold, the relentless night, the brutal sea, and his deep fatigue as he chases down the attacking submarines in the deadly game of cat and mouse. The exciting story, a thrilling ride-along with the beleaguered captain, so deeply portrays the elements of battle command that for a long period of time the book was used as a text at the US Naval Academy.",7,48181,"https://m.media-amazon.com/images/M/MV5BZTFkZjYxNWItZmE2MC00MGE4LWIxYTgtZmIzOWM1YmI2YWEzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://tv.apple.com/us/movie/greyhound/umc.cmc.o5z5ztufuu3uv8lx7m0jcega?action=play
