,tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
75,tt10183816,Dangerous Lies,Dangerous Lies,2020,"Drama, Mystery, Thriller",96,USA,English,Michael M. Scott,David Golden,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.",5.2,12402,"https://m.media-amazon.com/images/M/MV5BMDRjMmUzMTEtMWJiMC00MDUwLWExOGQtNDU2ZTU0Y2RmY2YzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX182_CR0,0,182,268_AL_.jpg"
76,tt3165210,Darcy,Darcy,2020,Drama,92,USA,English,"Jon Russell Cring, Heidi Philipsen","Jon Russell Cring, Tracy Nichole Cring",A coming-of-age tale about an innocent teenage girl living with her parents in a seedy motel on the edge town and the stranger who changes her world.,4.3,235,"https://m.media-amazon.com/images/M/MV5BNzJkYWY2YjEtOWQ0NS00YTM0LWJhMzItODk3YzVjNmYyMjVmXkEyXkFqcGdeQXVyMTk2MDQwNTA@._V1_UY268_CR0,0,182,268_AL_.jpg"
77,tt8150698,Dead by Dawn,Dead by Dawn,2020,Horror,85,USA,English,Sean Cain,"Sean Cain, Wes Laurie",A suicidal man in a remote cabin is suddenly faced with protecting a kidnapped woman from three sexual deviants and their sadistic games.,3.2,161,"https://m.media-amazon.com/images/M/MV5BNTA0NTE2YTMtOWU4YS00MzNkLWExMGItODIxYTEyZTI0YzUxXkEyXkFqcGdeQXVyMTYwMjMwOA@@._V1_UY268_CR2,0,182,268_AL_.jpg"
78,tt10437542,Dead Voices,Dead Voices,2020,"Horror, Mystery, Thriller",80,USA,English,William Butler,Jacob Kyle Young,Two sisters discover a dark secret while making a documentary about mediums for a college final.,2.6,129,"https://m.media-amazon.com/images/M/MV5BZWFkMWVjZTQtNGQzZC00MTIwLWE4YmYtNjk3MTBjMGUxNzk5XkEyXkFqcGdeQXVyNjIwMjMzMzc@._V1_UY268_CR7,0,182,268_AL_.jpg"
79,tt12876132,Deathstroke Knights & Dragons: The Movie,Deathstroke Knights & Dragons: The Movie,2020,"Animation, Action",87,USA,English,Sung Jin Ahn,J.M. DeMatteis,Deathstroke plays the hero in the latest DC Universe adventure from Warner Bros.,6.4,442,"https://m.media-amazon.com/images/M/MV5BMWQ4MzUyZDQtNmY0OC00ZjUyLTljZDMtYTYwM2U1ZjE3MTE3XkEyXkFqcGdeQXVyNDU4NzA4NDk@._V1_UX182_CR0,0,182,268_AL_.jpg"
80,tt11946300,Blu profondo 3,Deep Blue Sea 3,2020,"Action, Horror, Sci-Fi",99,USA,English,John Pogue,Dirk Blackman,"Studying the effects of climate change off the coast of Mozambique, a marine biologist and her team confront three genetically enhanced bull sharks. Now, a new bloodbath is waiting to happen in the name of science. Will humans never learn?",4.6,3101,"https://m.media-amazon.com/images/M/MV5BNTI1YmU4NmItZTc4NC00NzA2LWJiMjYtMmE0Njg5M2U2N2VhXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY268_CR9,0,182,268_AL_.jpg"
81,tt4344624,Deported,Deported,2020,Comedy,90,USA,English,Tyler Spindel,"Tyler Spindel, Dean Ward","When his new girlfriend gets deported on a technicality, Ross hires a fake husband to get her back into the country because he's not ready to commit to marriage.",3.7,221,"https://m.media-amazon.com/images/M/MV5BMGFiZDJiNWQtNDQwMi00ZTNiLWFkODUtZmYxYmU0ODg0ODBiXkEyXkFqcGdeQXVyNDcwMDIwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
82,tt1545304,Desperados,Desperados,2020,"Comedy, Romance",105,USA,English,LP,Ellen Rapoport,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend.",5.2,6961,"https://m.media-amazon.com/images/M/MV5BNTdlNmE0MWQtMWVjMC00MzRiLWJhN2MtN2NjNDFlNDg3MTY1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY268_CR4,0,182,268_AL_.jpg"
83,tt7086730,Devil's Night: Dawn of the Nain Rouge,Devil's Night: Dawn of the Nain Rouge,2020,"Action, Crime, Horror",96,USA,,Sam Logan Khaleghi,"Sam Logan Khaleghi, Aaron Russman","A military veteran who returns home, works in law enforcement and she's assigned to a supernatural case that's surrounded by urban myth and legend.",2.9,101,"https://m.media-amazon.com/images/M/MV5BNjQ1Y2IzNjYtOWIyNi00MzBhLTljYzktNmQzM2YxMzRlMzBkXkEyXkFqcGdeQXVyMTk4MjM2NjI@._V1_UY268_CR3,0,182,268_AL_.jpg"
84,tt9058654,Dinner in America,Dinner in America,2020,"Comedy, Drama, Music",106,USA,English,Adam Rehmeier,Adam Rehmeier,An on-the-lam punk rocker and a young woman obsessed with his band unexpectedly fall in love and go on an epic journey together through America's decaying Midwestern suburbs.,7.5,150,"https://m.media-amazon.com/images/M/MV5BNzE5MGRlODAtNTJhYy00YmJiLWJmNDAtYWJmYTc0NzYwNWQ5XkEyXkFqcGdeQXVyNTk5NDc3NTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
85,tt5717194,Disturbing the Peace - Sotto assedio,Disturbing the Peace,2020,"Action, Adventure, Thriller",91,USA,English,York Alec Shackleton,Chuck Hustmyre,"A small-town marshal who hasn't carried a gun since he left the Texas Rangers after a tragic shooting, must pick up his gun again to battle with a gang of outlaw bikers that has invaded the town to pull off a brazen and violent heist.",3.2,1265,"https://m.media-amazon.com/images/M/MV5BZWJiNzExYjgtYWY5Yy00MGIyLWFjM2MtMzZmYTIyZWFiNGVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
86,tt3580692,Diverted Eden,Diverted Eden,2020,"Action, Crime, Drama",110,USA,English,Prince Bagdasarian,Prince Bagdasarian,"After his young daughter is kidnapped, a war hero takes matters into his own hands while detectives unravel the mystery surrounding the unusual crime.",4.2,402,"https://m.media-amazon.com/images/M/MV5BZjMwMGNhNTItYjFlYS00MjQ4LWE1ZDItNWIwZjM3ZGNmYmIzXkEyXkFqcGdeQXVyMzMzMDQ3MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
87,tt10696018,DNA Killer,DNA Killer,2020,Thriller,85,"Germany, USA",English,Lisa France,Brooke Purdy,"On Sarah's birthday, her best friend Victoria gives her a genetic testing kit as a gift so she can learn more about her family's lineage. But that night, Victoria is tragically killed. ...",4.9,101,"https://m.media-amazon.com/images/M/MV5BNGRjZjFiYWMtODBjZi00YWY1LTkwYmMtNDg5ZDdjNTI5YzQ2XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg"
