id,tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls,fulldescriptions
250,tt9683478,L'altra metà,The Half of It,2020,"Comedy, Drama, Romance",104,USA,"Spanish, English, Mandarin, French, Hindi",Alice Wu,Alice Wu,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",6.9,23525,"https://m.media-amazon.com/images/M/MV5BY2RlZmZkOTUtMDI5Ni00ZjZmLWI1OTItZmUwNWE4ZWVjNzFiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX182_CR0,0,182,268_AL_.jpg","    A shy, introverted, Chinese-American, straight-A student finds herself helping the school jock woo the girl they both secretly love. In the process, each teaches the other about the nature of love as they find connection in the most unlikely of places."
251,tt9308382,L'assistente della star,The High Note,2020,"Drama, Music, Romance",113,"USA, UK",English,Nisha Ganatra,Flora Greeson,A superstar singer and her overworked personal assistant are presented with a choice that could alter the course of their respective careers.,6.3,3538,"https://m.media-amazon.com/images/M/MV5BNmJjNGM0MWYtOTIwOS00NTEzLThhMWUtMzI4YzBjOGM0YmRlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",    A superstar singer and her overworked personal assistant are presented with a choice that could alter the course of their respective careers.
252,tt8244784,The Hunt,The Hunt,2020,"Action, Horror, Thriller",90,USA,English,Craig Zobel,"Nick Cuse, Damon Lindelof","Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",6.5,52794,"https://m.media-amazon.com/images/M/MV5BNjg4MjRhZjgtNTIxOS00MmRjLTg4NTEtNjBkNzkwZjAxMjMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","    ""Twelve strangers wake up in a clearing. They don't know where they are -- or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted, Crystal, turns the tables on her pursuers."
253,tt11718728,The Insurrection,The Insurrection,2020,Action,90,USA,English,Rene Perez,Rene Perez,The director of the largest media company wants to expose how left-wing powers use film to control populations.,2.9,164,"https://m.media-amazon.com/images/M/MV5BNmY5NmVhOGYtN2JmOC00MTBhLThlM2EtMDcyOWFlMzVjYjc3XkEyXkFqcGdeQXVyMTE1MzU3MzE5._V1_UX182_CR0,0,182,268_AL_.jpg",    The director of the largest media company wants to expose how left-wing powers use film to control populations.
254,tt1051906,L'uomo invisibile,The Invisible Man,2020,"Horror, Mystery, Sci-Fi",124,"Canada, Australia, USA",English,Leigh Whannell,"Leigh Whannell, Leigh Whannell","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1,129805,"https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","    The film follows Cecilia, who receives the news of her abusive ex-boyfriend's suicide. She begins to re-build her life for the better. However, her sense of reality is put into question when she begins to suspect her deceased lover is not actually dead."
255,tt9686708,Il re di Staten Island,The King of Staten Island,2020,"Comedy, Drama",136,USA,English,Judd Apatow,"Judd Apatow, Pete Davidson",Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,7.1,21774,"https://m.media-amazon.com/images/M/MV5BYzkxMzMzOTgtNmZhMS00MGM0LTk3MzUtMjE1MzI4MzU5ZjkzXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg","    Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys - Oscar, Igor and Richie - and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life."
256,tt9784456,The Kissing Booth 2,The Kissing Booth 2,2020,"Comedy, Romance",134,"UK, USA",English,Vince Marcello,"Vince Marcello, Jay S Arnold","In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.",5.9,15189,"https://m.media-amazon.com/images/M/MV5BOWQ5ZGU2ZGQtOTJjYi00MWI3LWE1ZDQtM2EzOGI2MzJjNTA4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY268_CR1,0,182,268_AL_.jpg","    Elle Evans (Joey King) just had the most romantic summer of her life with her reformed bad-boy boyfriend Noah Flynn (Jacob Elordi). But now Noah's off to Harvard, and Elle's headed back to high school for her senior year. She'll have to juggle a long-distance relationship, getting into her dream college with her best friend Lee (Joel Courtney), and a new friendship with handsome classmate Marco (Taylor Perez). When Noah grows close to a seemingly-perfect college girl, Elle will have to decide how much she trusts him, and just what - and who - her heart truly wants. Director and screenwriter Vince Marcello returns for THE KISSING BOOTH sequel, based on characters from Beth Reekles' 2012 young adult book."
257,tt1552211,The Last Days of American Crime,The Last Days of American Crime,2020,"Action, Crime, Thriller",148,USA,English,Olivier Megaton,"Karl Gajdusek, Rick Remender","In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",3.6,8182,"https://m.media-amazon.com/images/M/MV5BOTAzMjhiOWQtZDkzMy00NmNiLWE1ZTEtYTJmNDIzMzhmZGQyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","    In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts."
258,tt7456312,Il suo ultimo desiderio,The Last Thing He Wanted,2020,"Crime, Drama, Mystery",115,USA,"English, Spanish, French",Dee Rees,"Marco Villalobos, Dee Rees",A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.,4.3,11373,"https://m.media-amazon.com/images/M/MV5BMWI3ODZlNjgtNWM4OC00MDFhLTg2MmYtYjk3M2I0OWJmZmE2XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",    A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.
259,tt4257940,The Lost Husband,The Lost Husband,2020,Romance,109,USA,English,Vicky Wight,"Katherine Center, Vicky Wight","Trying to put her life back together after the death of her husband, Libby and her children move to her estranged Aunt's goat farm in central Texas.",6.1,2234,"https://m.media-amazon.com/images/M/MV5BZWY1Y2RiM2ItZmYzOS00ZDU3LWEwMzAtNTFjYmRjZTJmYWRmXkEyXkFqcGdeQXVyMzE4NTc2MjU@._V1_UY268_CR2,0,182,268_AL_.jpg","    After the sudden death of her husband, Libby is forced to move in with her hypercritical mother. Out of the blue, her estranged Aunt Jean offers an escape: a job and a place to live on her farm in the Texas Hill Country. Before she can talk herself out of it, Libby is packing the minivan, grabbing the kids, and hitting the road. Life on Aunt Jean's goat farm is more wonderful and more mysterious than Libby could have imagined. Beyond the animals and the strenuous work, there is quiet - deep, country quiet. But there is also a shaggy, gruff farm manager with a tragic home life, a feed-store clerk who claims she can contact her husband on ""the other side,"" and the eccentric aunt she never really knew but who turns out to be exactly who she needs."
